"Alle Mann ausschwärmen!", befiehlt der Anführer.	49
"Ameisenscheiße!", rief die Fotografin, um die Schüler zum Lachen zu bringen.	77
"Beim Jupiter!", fluchte der Römer.	35
"Bravo!", ruft Herr Wolf.	25
"Da Capo al fine" weist den Musiker an, zu wiederholen.	55
"Gibt es zu Silvester Fondue oder Raclette?", will Zeynep wissen.	65
"Ich kann nicht genug klagen", lautet seine Standardantwort auf solche Fragen.	78
"Ich verstehe nur Bahnhof", gesteht Rosalie.	44
"Ich wünsche mir einen Roboter, der Unkraut rupft", stöhnt der Gärtner.	71
"Ist das für mich?", fragte sie ungläubig.	42
"Krieg der Sterne" hat eine ganze Generation geprägt. Noch heute.	65
"Leicht bekömmlich" ist meistens fettigem Essen vorzuziehen.	60
"Lithiumabbau durch Kinderarbeit?", hakt Yasmin nach. Yvonne antwortet.	71
"Semmeln" ist ein bayrisches Wort für Brötchen.	47
"Synchronicity" von Sharon Dodua Otoo ist dem magischen Realismus zuzuordnen.	77
"Tiefrot im Dispo" wird es richtig teuer.	41
"Traumatisch" ist nicht die Steigerung von "schlimm", sondern eine andere Kategorie.	84
"Und damit ist denke ich alles gesagt", konkludiert Frau Hansen.	64
"Verschluckt" sich S-T-T bei der phonetischen Betrachtung von Lehnwörtern aus dem Englischen?	93
"Wie sieht eine Passionsfrucht aus?", wollte Oliver wissen.	59
"X Y L O P H O N", buchstabiert sie.	36
A la carte oder lieber vorbestellen?	36
A-Stern gilt als Goldstandard bei der Wegsuche.	47
Ab Mai wollen wir in unserem Sportverein einen neuen Kurs anbieten.	67
Ab acht Uhr abends dürfen öffentlich-rechtliche Sender keine Werbung mehr zeigen.	81
Ab dem Punkt gibt es kein Zurück mehr für euch.	47
Ab dem ersten Januar zweitausendneunzehn beträgt der gesetzliche Mindestlohn neun Euro neunzehn.	96
Ab diesem Moment beginnt ein Wettlauf gegen die Zeit.	53
Ab einem Intelligenzquotienten von hundertdreißig gilt man als hochbegabt, unter siebzig als geistig behindert.	111
Ab einem bestimmten Punkt ist das Aufhören schädlicher als das Weiterrauchen.	77
Ab geht die Luzi.	17
Ab heute weht hier ein anderer Wind!	36
Ab in den Papierkorb damit!	27
Ab ins Körbchen!	16
Ab und zu sollte man neue Experimente wagen.	44
Ab und zu sollte man seine Gewohnheiten hinterfragen.	53
Ab wann gilt die Tätigkeit als gewerblich?	42
Ab wann hat das Restaurant offen?	33
Abdecken und stehen lassen haben noch keinem Hefeteig geschadet.	64
Aber Karl kann sich nicht für eine Fräse entscheiden.	53
Aber Profit steht nicht über allem.	35
Aber Pustekuchen!	17
Aber Respekt dafür, dass du dich der Herausforderung stellst.	61
Aber Rick hat geistesgegenwärtig die Notbremse gezogen.	55
Aber Sie werden sehen, das ist eher so Referenz, irgendwie.	59
Aber ab Mitternacht ist Schicht im Schacht.	43
Aber am Ende passt es dann doch.	32
Aber auf Dauer muss da noch mehr kommen.	40
Aber außer uns beiden ist hier doch niemand.	44
Aber bei manchen Themen kann ich einfach nicht ruhig bleiben.	61
Aber besser als Rauchzeichen.	29
Aber da bin ich sowieso viel zu abgelenkt, um etwas zu schmecken.	65
Aber da gelten sowieso eigene Regeln.	37
Aber da wird die dritte Dimension auch nicht sichtbar.	54
Aber dafür haben wir jetzt so eine fixe Abtropftasse.	53
Aber daraus lässt sich keine Schuld ableiten.	45
Aber das alles ist doch längst bekannt!	39
Aber das dürfen die gar nicht verlangen.	40
Aber das eigene Leben in die Hand nehmen zu können, half schon viel.	68
Aber das impliziert ja, dass es eine reziproke Abbildung gibt.	62
Aber das ist es mir wert.	25
Aber das ist wohl der Situation geschuldet.	43
Aber das kennen Sie sicher bereits.	35
Aber das sprengt meine Vorstellungskraft.	41
Aber das war erst anderthalb Stunden später.	44
Aber den einzigen, der sie wirklich liebt, lässt sie links liegen.	66
Aber dennoch ein gelungener Werbegag.	37
Aber der Betreff wird doch nicht verschlüsselt.	47
Aber der Mut ist stärker.	25
Aber der Punkt ist, er konnte es nicht verhindern.	50
Aber der Roman "Biskaya" geht immer ein paar Schritte weiter, ist abgerundeter.	79
Aber der Türsteher verwehrte beiden den Zutritt.	48
Aber der Vater traute sich nicht und versuchte, es ihm auszureden.	66
Aber der Vater traute sich nicht, die Nabelschnur durchzuschneiden.	67
Aber die Bestimmungswebsites helfen mir nicht.	46
Aber die Laborbefunde stimmen ja gar nicht überein.	51
Aber die Liebe währte nicht lang.	33
Aber die Sicherheit steht und fällt damit, dass der Schlüssel geheim gehalten wird.	83
Aber die eigentliche Party steigt woanders.	43
Aber die haben ja auch viel zu verlieren.	41
Aber die naheliegendste Lösung von allen wurde übersehen.	57
Aber diese Funktion ist nun mal noch nicht implementiert.	57
Aber diesmal lässt du den Müll anderer Leut bitte auf der Straße liegen.	72
Aber diesmal lässt du den Müll anderer Leute bitte auf der Straße liegen.	73
Aber eigentlich ist es nicht das Ereignis alleine, das das Trauma bedingt.	74
Aber eigentlich könnte sie auch hinüber in ihr eigenes Haus gehen.	66
Aber ein Bruch ist aus mehreren Gründen gefährlicher.	53
Aber eine Frage beschäftigt alle.	33
Aber eines darfst du dabei nie vergessen.	41
Aber entspricht das der Realität?	33
Aber er hat es bereut.	22
Aber es fällt einem dann vielleicht schwerer.	45
Aber es geht ja nicht um die Wahrheit, stimmts?	47
Aber es hält einen auf Trab.	28
Aber es ist ein enorm spannendes und abwechslungsreiches Genre.	63
Aber es lohnt sich.	19
Aber gerne!	11
Aber heute bleiben wir nicht so lang.	37
Aber hier haben wir es mit einem anderen Kaliber zu tun.	56
Aber ich bezweifle, dass diese Beweise gerichtsfest sind.	57
Aber ich habe mich losgerissen.	31
